team_id,ip,earned_runs,n,start_type,team
1,3.0,3,1,Bad Start,The Talmudic Tunnelers
1,4.0,3,1,Bad Start,The Talmudic Tunnelers
1,4.1,1,1,Bad Start,The Talmudic Tunnelers
1,4.2,5,1,Bad Start,The Talmudic Tunnelers
1,5.0,0,4,QS Potential,The Talmudic Tunnelers
1,5.0,1,1,QS Potential,The Talmudic Tunnelers
1,5.0,2,2,QS Potential,The Talmudic Tunnelers
1,5.0,3,2,QS Potential,The Talmudic Tunnelers
1,5.1,2,2,QS Potential,The Talmudic Tunnelers
1,5.2,1,1,Blue Balls,The Talmudic Tunnelers
1,5.2,3,1,Blue Balls,The Talmudic Tunnelers
1,6.0,0,3,QS,The Talmudic Tunnelers
1,6.0,1,3,QS,The Talmudic Tunnelers
1,6.0,2,2,QS,The Talmudic Tunnelers
1,6.0,3,2,QS,The Talmudic Tunnelers
1,6.1,0,1,QS,The Talmudic Tunnelers
1,6.2,3,1,QS,The Talmudic Tunnelers
1,7.0,0,1,QS,The Talmudic Tunnelers
1,7.0,1,1,QS,The Talmudic Tunnelers
1,< 3,5,1,Bad Start,The Talmudic Tunnelers
2,4.0,3,1,Bad Start,Skubal Divers
2,4.0,4,1,Bad Start,Skubal Divers
2,5.0,0,1,QS Potential,Skubal Divers
2,5.0,2,1,QS Potential,Skubal Divers
2,5.0,4,2,Bad Start,Skubal Divers
2,5.0,6+,1,Bad Start,Skubal Divers
2,5.1,2,1,QS Potential,Skubal Divers
2,5.2,4,1,Bad Start,Skubal Divers
2,5.2,6+,1,Bad Start,Skubal Divers
2,6.0,0,3,QS,Skubal Divers
2,6.0,1,3,QS,Skubal Divers
2,6.0,3,4,QS,Skubal Divers
2,6.0,5,1,Bad Start,Skubal Divers
2,6.0,6+,1,Bad Start,Skubal Divers
2,6.1,2,1,QS,Skubal Divers
2,6.1,4,1,QS Potential,Skubal Divers
2,7.0,0,3,QS,Skubal Divers
2,< 3,5,1,Bad Start,Skubal Divers
2,> 7,0,1,QS,Skubal Divers
2,> 7,1,1,QS,Skubal Divers
4,3.0,4,1,Bad Start,All That is Wright
4,3.0,6+,1,Bad Start,All That is Wright
4,4.2,1,1,Bad Start,All That is Wright
4,4.2,5,1,Bad Start,All That is Wright
4,5.0,0,1,QS Potential,All That is Wright
4,5.0,1,1,QS Potential,All That is Wright
4,5.0,2,2,QS Potential,All That is Wright
4,5.0,3,1,QS Potential,All That is Wright
4,5.0,4,2,Bad Start,All That is Wright
4,5.1,0,1,QS Potential,All That is Wright
4,5.2,0,1,Blue Balls,All That is Wright
4,5.2,3,1,Blue Balls,All That is Wright
4,5.2,4,1,Bad Start,All That is Wright
4,6.0,0,3,QS,All That is Wright
4,6.0,1,3,QS,All That is Wright
4,6.0,2,4,QS,All That is Wright
4,6.1,0,1,QS,All That is Wright
4,6.1,3,1,QS,All That is Wright
4,7.0,0,1,QS,All That is Wright
4,7.0,3,1,QS,All That is Wright
4,< 3,6+,1,Bad Start,All That is Wright
5,3.1,6+,1,Bad Start,The Traveling Secretaries
5,3.2,5,1,Bad Start,The Traveling Secretaries
5,3.2,6+,1,Bad Start,The Traveling Secretaries
5,4.0,3,1,Bad Start,The Traveling Secretaries
5,4.0,6+,1,Bad Start,The Traveling Secretaries
5,4.1,3,1,Bad Start,The Traveling Secretaries
5,4.1,4,1,Bad Start,The Traveling Secretaries
5,4.1,6+,1,Bad Start,The Traveling Secretaries
5,5.0,0,1,QS Potential,The Traveling Secretaries
5,5.0,2,1,QS Potential,The Traveling Secretaries
5,5.0,4,1,Bad Start,The Traveling Secretaries
5,5.1,2,1,QS Potential,The Traveling Secretaries
5,5.2,2,1,Blue Balls,The Traveling Secretaries
5,5.2,3,2,Blue Balls,The Traveling Secretaries
5,5.2,5,1,Bad Start,The Traveling Secretaries
5,6.0,1,2,QS,The Traveling Secretaries
5,6.0,2,2,QS,The Traveling Secretaries
5,6.0,6+,1,Bad Start,The Traveling Secretaries
5,6.1,1,1,QS,The Traveling Secretaries
5,6.2,1,1,QS,The Traveling Secretaries
5,7.0,0,2,QS,The Traveling Secretaries
5,7.0,1,2,QS,The Traveling Secretaries
5,7.0,2,1,QS,The Traveling Secretaries
5,< 3,6+,1,Bad Start,The Traveling Secretaries
6,3.0,5,1,Bad Start,The Novaks
6,3.2,6+,1,Bad Start,The Novaks
6,4.0,2,1,Bad Start,The Novaks
6,4.0,5,3,Bad Start,The Novaks
6,4.2,1,1,Bad Start,The Novaks
6,5.0,0,1,QS Potential,The Novaks
6,5.0,1,3,QS Potential,The Novaks
6,5.0,2,2,QS Potential,The Novaks
6,5.0,5,1,Bad Start,The Novaks
6,5.1,1,1,QS Potential,The Novaks
6,5.2,1,1,Blue Balls,The Novaks
6,6.0,0,3,QS,The Novaks
6,6.0,1,3,QS,The Novaks
6,6.0,2,2,QS,The Novaks
6,6.0,5,1,Bad Start,The Novaks
6,6.1,0,1,QS,The Novaks
6,6.1,1,1,QS,The Novaks
6,6.2,0,2,QS,The Novaks
6,7.0,4,1,QS Potential,The Novaks
6,< 3,5,1,Bad Start,The Novaks
6,CG,0,1,CG,The Novaks
7,4.0,4,1,Bad Start,FVOS Re-imagined
7,4.0,6+,1,Bad Start,FVOS Re-imagined
7,4.1,3,1,Bad Start,FVOS Re-imagined
7,4.1,6+,1,Bad Start,FVOS Re-imagined
7,4.2,3,1,Bad Start,FVOS Re-imagined
7,5.0,1,1,QS Potential,FVOS Re-imagined
7,5.0,3,1,QS Potential,FVOS Re-imagined
7,5.1,0,1,QS Potential,FVOS Re-imagined
7,5.1,3,2,QS Potential,FVOS Re-imagined
7,6.0,0,4,QS,FVOS Re-imagined
7,6.0,1,4,QS,FVOS Re-imagined
7,6.0,2,4,QS,FVOS Re-imagined
7,6.0,3,1,QS,FVOS Re-imagined
7,6.1,1,1,QS,FVOS Re-imagined
7,6.1,2,1,QS,FVOS Re-imagined
7,6.2,0,1,QS,FVOS Re-imagined
7,7.0,0,2,QS,FVOS Re-imagined
7,< 3,3,1,Bad Start,FVOS Re-imagined
7,> 7,0,1,QS,FVOS Re-imagined
8,4.0,3,1,Bad Start,Mt. Everest Taquito Farmers
8,4.1,1,1,Bad Start,Mt. Everest Taquito Farmers
8,4.1,5,1,Bad Start,Mt. Everest Taquito Farmers
8,4.2,3,1,Bad Start,Mt. Everest Taquito Farmers
8,5.0,0,2,QS Potential,Mt. Everest Taquito Farmers
8,5.0,1,3,QS Potential,Mt. Everest Taquito Farmers
8,5.0,2,2,QS Potential,Mt. Everest Taquito Farmers
8,5.0,3,1,QS Potential,Mt. Everest Taquito Farmers
8,5.0,4,2,Bad Start,Mt. Everest Taquito Farmers
8,5.0,5,1,Bad Start,Mt. Everest Taquito Farmers
8,5.1,1,2,QS Potential,Mt. Everest Taquito Farmers
8,5.1,4,1,Bad Start,Mt. Everest Taquito Farmers
8,5.2,2,1,Blue Balls,Mt. Everest Taquito Farmers
8,5.2,3,1,Blue Balls,Mt. Everest Taquito Farmers
8,6.0,0,4,QS,Mt. Everest Taquito Farmers
8,6.0,1,2,QS,Mt. Everest Taquito Farmers
8,6.0,2,2,QS,Mt. Everest Taquito Farmers
8,6.0,3,1,QS,Mt. Everest Taquito Farmers
9,3.0,5,1,Bad Start,Takin' Care of Rizzness
9,4.0,3,1,Bad Start,Takin' Care of Rizzness
9,4.1,2,2,Bad Start,Takin' Care of Rizzness
9,4.2,6+,1,Bad Start,Takin' Care of Rizzness
9,5.0,2,1,QS Potential,Takin' Care of Rizzness
9,5.0,3,1,QS Potential,Takin' Care of Rizzness
9,5.0,4,2,Bad Start,Takin' Care of Rizzness
9,5.0,5,1,Bad Start,Takin' Care of Rizzness
9,5.1,2,1,QS Potential,Takin' Care of Rizzness
9,5.1,3,1,QS Potential,Takin' Care of Rizzness
9,5.2,6+,1,Bad Start,Takin' Care of Rizzness
9,6.0,0,4,QS,Takin' Care of Rizzness
9,6.0,1,1,QS,Takin' Care of Rizzness
9,6.0,2,2,QS,Takin' Care of Rizzness
9,6.0,6+,1,Bad Start,Takin' Care of Rizzness
9,6.1,1,1,QS,Takin' Care of Rizzness
9,6.1,3,1,QS,Takin' Care of Rizzness
9,6.2,1,1,QS,Takin' Care of Rizzness
9,7.0,0,2,QS,Takin' Care of Rizzness
9,7.0,3,1,QS,Takin' Care of Rizzness
9,< 3,0,1,Bad Start,Takin' Care of Rizzness
9,< 3,5,1,Bad Start,Takin' Care of Rizzness
9,> 7,0,1,QS,Takin' Care of Rizzness
11,3.1,4,1,Bad Start,The West Bank Occupiers
11,4.0,0,1,Bad Start,The West Bank Occupiers
11,4.0,5,1,Bad Start,The West Bank Occupiers
11,4.1,0,1,Bad Start,The West Bank Occupiers
11,4.1,3,1,Bad Start,The West Bank Occupiers
11,4.2,4,1,Bad Start,The West Bank Occupiers
11,4.2,5,1,Bad Start,The West Bank Occupiers
11,5.0,0,1,QS Potential,The West Bank Occupiers
11,5.0,1,3,QS Potential,The West Bank Occupiers
11,5.0,2,1,QS Potential,The West Bank Occupiers
11,5.0,3,1,QS Potential,The West Bank Occupiers
11,5.1,2,1,QS Potential,The West Bank Occupiers
11,5.2,0,2,Blue Balls,The West Bank Occupiers
11,5.2,4,1,Bad Start,The West Bank Occupiers
11,5.2,6+,1,Bad Start,The West Bank Occupiers
11,6.0,0,2,QS,The West Bank Occupiers
11,6.0,2,3,QS,The West Bank Occupiers
11,6.0,5,1,Bad Start,The West Bank Occupiers
11,6.2,1,1,QS,The West Bank Occupiers
11,7.0,0,1,QS,The West Bank Occupiers
11,7.0,1,3,QS,The West Bank Occupiers
11,7.0,2,1,QS,The West Bank Occupiers
12,4.0,1,1,Bad Start,Blasphemous Hot Takes
12,4.1,6+,1,Bad Start,Blasphemous Hot Takes
12,5.1,2,2,QS Potential,Blasphemous Hot Takes
12,5.1,3,1,QS Potential,Blasphemous Hot Takes
12,5.1,4,1,Bad Start,Blasphemous Hot Takes
12,5.2,0,1,Blue Balls,Blasphemous Hot Takes
12,5.2,1,1,Blue Balls,Blasphemous Hot Takes
12,5.2,4,3,Bad Start,Blasphemous Hot Takes
12,6.0,0,2,QS,Blasphemous Hot Takes
12,6.0,1,1,QS,Blasphemous Hot Takes
12,6.0,2,3,QS,Blasphemous Hot Takes
12,6.0,4,1,QS Potential,Blasphemous Hot Takes
12,6.0,5,1,Bad Start,Blasphemous Hot Takes
12,6.0,6+,1,Bad Start,Blasphemous Hot Takes
12,6.2,1,1,QS,Blasphemous Hot Takes
12,7.0,0,1,QS,Blasphemous Hot Takes
12,7.0,1,1,QS,Blasphemous Hot Takes
12,7.0,2,1,QS,Blasphemous Hot Takes
12,7.0,3,1,QS,Blasphemous Hot Takes
12,7.0,4,1,QS Potential,Blasphemous Hot Takes
12,7.0,5,1,Bad Start,Blasphemous Hot Takes
12,> 7,1,2,QS,Blasphemous Hot Takes
12,> 7,2,1,QS,Blasphemous Hot Takes
12,CG,0,1,CG,Blasphemous Hot Takes
13,3.2,0,1,Bad Start,Ketel Bells
13,3.2,5,1,Bad Start,Ketel Bells
13,3.2,6+,1,Bad Start,Ketel Bells
13,4.0,3,1,Bad Start,Ketel Bells
13,4.1,3,1,Bad Start,Ketel Bells
13,4.1,6+,1,Bad Start,Ketel Bells
13,4.2,2,1,Bad Start,Ketel Bells
13,5.0,1,2,QS Potential,Ketel Bells
13,5.0,3,2,QS Potential,Ketel Bells
13,5.0,4,2,Bad Start,Ketel Bells
13,5.1,3,1,QS Potential,Ketel Bells
13,5.2,0,1,Blue Balls,Ketel Bells
13,5.2,3,1,Blue Balls,Ketel Bells
13,6.0,0,4,QS,Ketel Bells
13,6.0,1,2,QS,Ketel Bells
13,6.0,2,1,QS,Ketel Bells
13,6.1,1,1,QS,Ketel Bells
13,7.0,0,1,QS,Ketel Bells
13,7.0,1,1,QS,Ketel Bells
13,< 3,6+,1,Bad Start,Ketel Bells
13,> 7,0,1,QS,Ketel Bells
13,> 7,1,1,QS,Ketel Bells
14,3.2,5,1,Bad Start,Elly De La Snooze
14,3.2,6+,1,Bad Start,Elly De La Snooze
14,4.0,4,1,Bad Start,Elly De La Snooze
14,4.0,5,1,Bad Start,Elly De La Snooze
14,4.1,1,1,Bad Start,Elly De La Snooze
14,4.2,1,1,Bad Start,Elly De La Snooze
14,5.0,1,2,QS Potential,Elly De La Snooze
14,5.0,4,1,Bad Start,Elly De La Snooze
14,5.1,3,2,QS Potential,Elly De La Snooze
14,5.2,0,1,Blue Balls,Elly De La Snooze
14,5.2,2,2,Blue Balls,Elly De La Snooze
14,5.2,3,1,Blue Balls,Elly De La Snooze
14,6.0,1,4,QS,Elly De La Snooze
14,6.0,2,1,QS,Elly De La Snooze
14,6.1,0,1,QS,Elly De La Snooze
14,6.1,2,1,QS,Elly De La Snooze
14,6.2,0,1,QS,Elly De La Snooze
14,7.0,0,1,QS,Elly De La Snooze
14,7.0,1,1,QS,Elly De La Snooze
14,< 3,5,1,Bad Start,Elly De La Snooze
